"cas_number","dtxsid","preferred_name","mw_g_mol"
"5585-93-3","DTXSID80863574","2-(4-(3-(1-Aza-10-phenothiazinyl)propyl)-1-piperazinyl)ethanol",370.52
"153-87-7","DTXSID20165185","Oxypertine",379.504
"61869-08-7","DTXSID3023425","(-)-Paroxetine",329.371
"26864-56-2","DTXSID5049021","Penfluridol",523.97
"84-97-9","DTXSID6048628","Perazine",339.5
"2622-26-6","DTXSID5045910","Periciazine",365.5
"58-39-9","DTXSID1023441","Perphenazine",403.97
"51753-57-2","DTXSID00199685","Phenazepam",349.61
"51-71-8","DTXSID2041094","Phenelzine",136.198
"2062-78-4","DTXSID8023474","Pimozide",461.557
"1893-33-0","DTXSID8048369","Pipamperone",375.488
"39860-99-6","DTXSID40192913","Pipotiazine",475.67
"467-60-7","DTXSID2023486","Pipradrol",267.372
"2955-38-6","DTXSID4021181","Prazepam",324.81
"58-38-8","DTXSID7023514","Prochlorperazine",373.94
"58-40-2","DTXSID2023517","Promazine",284.42
"438-60-8","DTXSID0023535","Protriptyline",263.384
"39243-02-2","DTXSID101043303","Pyrazolam",354.211
"3563-49-3","DTXSID20863194","1-(4-Methylphenyl)-2-(pyrrolidin-1-yl)pentan-1-one",245.366
"111974-69-7","DTXSID9023546","Quetiapine",383.51
"98769-81-4","DTXSID1048257","Reboxetine",318.428
"80125-14-0","DTXSID6045668","Remoxipride",371.275
"106266-06-2","DTXSID8045193","Risperidone",410.493
"130049-84-2","DTXSID7049059","Paliperidone",426.492
"106516-24-9","DTXSID6048967","Sertindole",440.95
"79617-96-2","DTXSID6023577","Sertraline",306.23
"15676-16-1","DTXSID1042574","Sulpiride",341.43
"846-50-4","DTXSID8021309","Temazepam",300.74
"10379-14-3","DTXSID00146058","Tetrazepam",288.78
"84-06-0","DTXSID6023654","Thiopropazate",446.01
"316-81-4","DTXSID1023655","Thioproperazine",446.63
"50-52-2","DTXSID6023656","Thioridazine",370.57
"5591-45-7","DTXSID6023658","Thiothixene",443.62
"51012-32-9","DTXSID0023664","Tiapride",328.43
"155-09-9","DTXSID2023694","Tranylcypromine",133.194
"19794-93-5","DTXSID5045043","Trazodone",371.87
"117-89-5","DTXSID1046928","2-Trifluoromethyl-10-[3'-(1-methyl-4-piperazinyl)propyl]phenothiazine",407.5
"749-13-3","DTXSID4023703","Trifluperidol",409.425
"146-54-3","DTXSID9023704","Triflupromazine",352.42
"739-71-9","DTXSID8023715","Trimipramine",294.442
"72-69-5","DTXSID9023384","Nortriptyline",263.384
"93413-69-5","DTXSID6023737","Venlafaxine",277.408
"56775-88-3","DTXSID6048462","Zimeldine",317.23
"146939-27-7","DTXSID4023753","Ziprasidone",412.94
"82626-48-0","DTXSID7045946","Zolpidem",307.397
"26615-21-4","DTXSID9023756","Zotepine",331.86
"53772-83-1","DTXSID3048233","Zuclopenthixol",400.97
"366-77-8","DTXSID30190084","beta-(4-Fluorobenzoyl)propionic acid",196.177
"402-45-9","DTXSID2075392","4-(Trifluoromethyl)phenol",162.111
"4197-72-2","DTXSID40295014","2-hexylbenzene-1,4-diol",194.274
"30896-57-2","DTXSID90932240","4-Hydroxyalprazolam",324.77
"71676-01-2","DTXSID60747025","4-Amino-5-(ethanesulfonyl)-N-[(1-ethyl-1-oxo-1lambda~5~-pyrrolidin-2-yl)methyl]-2-methoxybenzamide",385.48
"7722-15-8","DTXSID10227968","7-Chloro-2-amino-5-phenyl-3H-1,4-benzodiazepine 4-oxide",285.73
"372941-54-3","DTXSID30881081","3-oxo-citalopram",338.382
"64372-56-1","DTXSID10881084","Citalopram amide",342.414
"440121-09-5","DTXSID50881083","Citalopram carboxylic acid",343.398
"63284-72-0","DTXSID50435141","Citalopram N-oxide",340.398
"62498-67-3","DTXSID90881082","Desmethylcitalopram",310.372
"303-48-0","DTXSID70952663","Norclomipramine",300.83
"6104-71-8","DTXSID0042616","N-Desmethylclozapine",312.8
"58534-46-6","DTXSID701177750","(3Z)-3-Dibenz[b,e]oxepin-11(6H)-ylidene-N-methyl-1-propanamine",265.356
"83891-03-6","DTXSID80866540","Norfluoxetine",295.305
"37819-98-0","DTXSID80958853","3-(2-Methoxy-10H-phenothiazin-10-yl)-N,2-dimethylpropan-1-amine",314.45
"6705-02-8","DTXSID90986026","2-[2-Hydroxy-2-(phenylimino)ethoxy]benzene-1-carboximidic acid",270.288
"71936-92-0","DTXSID20891477","Normianserin",250.345
"62510-46-7","DTXSID70891482","Mianserin N-oxide",280.371
"59468-90-5","DTXSID50208175","1-Hydroxymethylmidazolam",341.77
"102335-57-9","DTXSID60467650","8-Hydroxy Mirtazapine",281.359
"61337-68-6","DTXSID601009940","Normirtazapine",251.333
"1105989","DTXSID901105989","1,2,4-Triazolo[4,3-a]pyridin-3(2H)-one, 2-[[2-(4-ethoxyphenyl)-5-methyl-4-oxazolyl]methyl]-8-(1-piperidinylsulfonyl)-",497.57
"70030-11-4","DTXSID10990281","3-Hydroxyphenazepam",365.61
"58-37-7","DTXSID00861592","Aminopromazine",327.49
"3568-24-9","DTXSID3046950","Propionylpromazine",340.49
"139079-39-3","DTXSID10160886","ICI-214227",399.51
"87857-41-8","DTXSID60236666","Desmethylsertraline",292.2
"67381-52-6","DTXSID501151716","5-(Aminosulfonyl)-N-[(1-ethyl-2-pyrrolidinyl)methyl]-2-hydroxybenzamide",327.4
"1123-19-9","DTXSID30864258","3-Acetyl-3-methyloxolan-2-one",142.154
"7776-05-8","DTXSID80998951","10-[2-(1-Methylpiperidin-2-yl)ethyl]-2-(methylsulfanyl)-5lambda~4~-phenothiazin-5(10H)-one",386.57
"2293-21-2","DTXSID70945611","N-desmethyl Trimipramine",280.415
"93413-77-5","DTXSID50891440","1-[2-Amino-1-(4-methoxyphenyl)ethyl]cyclohexanol",249.354
"135308-74-6","DTXSID10891441","N,O-Didesmethylvenlafaxine",249.354
"149289-30-5","DTXSID20881050","N-Desmethylvenlafaxine",263.381
"1094598-37-4","DTXSID90891489","Venlafaxine N-Oxide",293.407
"93413-62-8","DTXSID40869118","O-Desmethylvenlafaxine",263.381
"33665-90-6","DTXSID0048006","Acesulfame",163.15
"80863-62-3","DTXSID3043780","Alitame",331.43
"22839-47-0","DTXSID0020107","Aspartame",294.307
"100-88-9","DTXSID5041809","Cyclamic acid",179.23
"165450-17-9","DTXSID50167950","Neotame",378.469
"81-07-2","DTXSID5021251","Saccharin",183.18
"56038-13-2","DTXSID1040245","Sucralose",397.63
"24333-19-5","DTXSID10179074","2,5-Dimethoxy-4-methylphenethylamine",195.262
"207740-22-5","DTXSID30174849","2C-P",223.316
"2801-68-5","DTXSID2091540","(+/-) -1-(2,5-Dimethoxyphenyl)-2-aminopropane",195.262
"919797-19-6","DTXSID20238808","4-Iodo-2,5-dimethoxy-N-[(2-methoxyphenyl)methyl]benzeneethanamine",427.282
"66142-22-1","DTXSID3070410","Benzoselenazolium, 3-ethyl-2-methyl-, ethyl sulfate",350.3
"88441-14-9","DTXSID80893699","1-(4-Chloro-2,5-dimethoxyphenyl)-2-aminoethane",215.68
"1227608-02-7","DTXSID10676790","2-(4-Chloro-2,5-dimethoxyphenyl)-N-[(2-methoxyphenyl)methyl]ethan-1-amine",335.83
"71539-34-9","DTXSID40221772","2,5-Dimethoxy-4-ethylphenethylamine",209.289
"3600-86-0","DTXSID80189564","2,5-Dimethoxyphenethylamine",181.235
"1481-94-3","DTXSID90296213","2-Ethyl-4-chromanol",178.231
"207740-24-7","DTXSID40174850","2,5-Dimethoxy-4-(ethylthio)phenethylamine",241.35
"207740-25-8","DTXSID60893915","2,5-Dimethoxy-4-isopropylthiophenethylamine",255.38
"207740-26-9","DTXSID90861566","2,5-Dimethoxy-4-(n)-propylthiophenethylamine",255.38
"936015-60-0","DTXSID30239482","4-Acetoxy-DiPT",302.418
"286834-80-8","DTXSID301347696","1-(Benzofuran-5-yl)propan-2-amine hydrochloride",211.69
"3784-30-3","DTXSID30873562","1-(1H-Indol-5-yl)propan-2-amine",174.247
"1445581-91-8","DTXSID901043090","N-(1-Naphthyl)-1-(5-fluoropentyl)-1H-indazole-3-carboxamide",375.447
"21969-11-9","DTXSID80176378","4-Chloro-4'-nitrodiphenyl sulfide",265.71
"895155-26-7","DTXSID801010107","[1-[2-(4-Morpholinyl)ethyl]-1H-indol-3-yl](2,2,3,3-tetramethylcyclopropyl)methanone",354.494
